,TCEHY,TCEHY value,HAS,HAS value,BBWI,BBWI value,NWL,NWL value,NFLX,NFLX value,^GSPC,TCEHY Percent Change,HAS Percent Change,BBWI Percent Change,NWL Percent Change,NFLX Percent Change
Ticker,TCEHY,TCEHY,HAS,HAS,BBWI,BBWI,NWL,NWL,NFLX,NFLX,^GSPC,,,,,
Date,,,,,,,,,,,,,,,,
2025-01-06,46.84000015258789,14052.000045776367,56.426761627197266,22570.704650878906,36.22948455810547,18114.742279052734,9.65274715423584,58881.75764083862,837.6900024414062,16753.800048828125,5827.0400390625,0.0,0.0,0.0,0.0,0.0
2025-01-13,49.34000015258789,14802.000045776367,56.72353744506836,22689.414978027344,36.56779861450195,18283.899307250977,10.008790969848633,61053.62491607666,858.0999755859375,17161.99951171875,5996.66015625,5.337318513782875,0.5259486975911268,0.9338086382484699,3.6885231729762347,2.436458962748438
2025-01-20,50.349998474121094,15104.999542236328,56.802677154541016,22721.070861816406,36.806610107421875,18403.305053710938,10.54285717010498,64311.42873764038,977.5900268554688,19551.800537109375,6101.240234375,7.4935916099463915,0.6662007822234506,1.59297201259047,9.221312872351998,16.70069166473645
2025-01-27,53.02000045776367,15906.000137329102,57.218162536621094,22887.265014648438,37.42353439331055,18711.767196655273,9.850549697875977,60088.35315704346,976.760009765625,19535.2001953125,6040.52978515625,13.193852017599403,1.4025276067630628,3.295795813186468,2.0491839315747185,16.60160762560208
2025-02-03,54.959999084472656,16487.999725341797,58.41515350341797,23366.061401367188,35.71206283569336,17856.03141784668,7.0516486167907715,43015.056562423706,1013.9299926757812,20278.599853515625,6025.990234375,17.33560825241829,3.523845457156828,-1.4281785366895285,-26.946717819120007,21.038807878896996
2025-02-10,61.529998779296875,18458.999633789062,60.16612243652344,24066.448974609375,36.289188385009766,18144.594192504883,6.982417583465576,42592.747259140015,1058.5999755859375,21171.99951171875,6114.6298828125,31.362080655111548,6.626927899976859,0.16479347590094154,-27.66393367714458,26.37132740043453
2025-02-17,66.70999908447266,20012.999725341797,66.83365631103516,26733.462524414062,38.398677825927734,19199.338912963867,6.725275039672852,41024.177742004395,1003.1500244140625,20063.00048828125,6013.1298828125,42.4210052671978,18.44318969178952,5.98736993992635,-30.327864884333454,19.751939439462234
2025-02-24,61.61000061035156,18483.00018310547,64.41000366210938,25764.00146484375,36.22999954223633,18114.999771118164,6.349450588226318,38731.64858818054,980.5599975585938,19611.199951171875,5954.5,31.532878756721427,14.147971290034564,0.0014214503384210025,-34.22131040239629,17.055234597619638
2025-03-03,68.22000122070312,20466.000366210938,63.658172607421875,25463.26904296875,32.619998931884766,16309.999465942383,6.75,41175.0,891.1099853515625,17822.19970703125,5770.2001953125,45.64475021021963,12.815569725587665,-9.962840129375145,-30.071720597820175,6.377058667820595
2025-03-10,68.05000305175781,20415.000915527344,59.790000915527344,23916.000366210938,29.5,14750.0,6.550000190734863,39955.001163482666,918.0,18360.0,5638.93994140625,45.281816460451225,5.960362054002799,-18.574607505973777,-32.143667641179455,9.587078432896922
2025-03-17,65.72000122070312,19716.000366210938,60.56999969482422,24227.999877929688,30.280000686645508,15140.000343322754,6.449999809265137,39344.998836517334,960.2899780273438,19205.799560546875,5667.56005859375,40.30743169643675,7.3426827061256414,-16.421663029508675,-33.17964610277051,14.635482723755317
2025-03-24,65.05000305175781,19515.000915527344,60.59000015258789,24236.000061035156,30.950000762939453,15475.000381469727,6.389999866485596,38978.999185562134,933.8499755859375,18676.99951171875,5580.93994140625,38.87703424391177,7.378127692133897,-14.572340345330304,-33.8012302157783,11.479183571998918
